Mentor ID,Name,Expertise,Alma Mater,Teaching Approach,Rating
M301,Aditya Chopra,"Taxation, Intellectual Property Law",NLSIU Bangalore,Interactive,4.73
M302,Kabir Bansal,"Constitutional Law, Corporate Law",NLU Jodhpur,Lecture-based,4.73
M303,Ishaan Sharma,"Torts, Criminal Law",NLU Delhi,Case-based,4.73
M304,Ishaan Sharma,"Torts, Constitutional Law",NALSAR Hyderabad,Interactive,4.49
M305,Aadhya Kumar,"Contract Law, Criminal Law",NLU Delhi,Research-focused,4.05
M306,Siya Joshi,"Contract Law, Taxation",WBNUJS Kolkata,Case-based,3.86
M307,Ishaan Singh,"Criminal Law, Corporate Law",WBNUJS Kolkata,Discussion-based,4.79
M308,Riya Chopra,"Constitutional Law, Taxation",NLSIU Bangalore,Discussion-based,3.93
M309,Aditya Kumar,"Criminal Law, Contract Law",NALSAR Hyderabad,Case-based,4.73
M310,Siya Kumar,"Contract Law, Constitutional Law",NLSIU Bangalore,Research-focused,3.53
M311,Siya Sharma,"Contract Law, Taxation",NLSIU Bangalore,Case-based,4.15
M312,Siya Kapoor,"Taxation, Torts",NALSAR Hyderabad,Discussion-based,4.81
M313,Anaya Verma,"Constitutional Law, Taxation",NLSIU Bangalore,Research-focused,4.63
M314,Myra Patel,"Corporate Law, Taxation",NLU Delhi,Discussion-based,3.85
M315,Vivaan Mehta,"Corporate Law, Criminal Law",WBNUJS Kolkata,Research-focused,4.97
M316,Siya Verma,"Contract Law, Taxation",NLSIU Bangalore,Interactive,4.68
M317,Anaya Patel,"Contract Law, Criminal Law",NLU Delhi,Research-focused,3.91
M318,Riya Chopra,"Constitutional Law, Criminal Law",NLU Delhi,Case-based,4.88
M319,Riya Patel,"Constitutional Law, Criminal Law",NALSAR Hyderabad,Interactive,4.3
M320,Kabir Mehta,"Constitutional Law, Corporate Law",NLU Delhi,Discussion-based,4.79
M321,Ishaan Bansal,"Torts, Intellectual Property Law",NALSAR Hyderabad,Case-based,4.73
M322,Myra Kumar,"Contract Law, Criminal Law",NLU Delhi,Case-based,3.57
M323,Myra Singh,"Torts, Criminal Law",NALSAR Hyderabad,Discussion-based,4.55
M324,Aditya Singh,"Criminal Law, Taxation",WBNUJS Kolkata,Interactive,4.12
M325,Aditya Chopra,"Corporate Law, Contract Law",NALSAR Hyderabad,Research-focused,3.78
M326,Anaya Joshi,"Corporate Law, Constitutional Law",NLSIU Bangalore,Discussion-based,4.73
M327,Anaya Verma,"Torts, Criminal Law",WBNUJS Kolkata,Discussion-based,4.4
M328,Aarav Kumar,"Contract Law, Corporate Law",NLU Delhi,Lecture-based,4.45
M329,Aarav Verma,"Intellectual Property Law, Torts",NLSIU Bangalore,Interactive,3.9
M330,Vivaan Mehta,"Criminal Law, Taxation",NLU Jodhpur,Research-focused,4.65
M331,Riya Chopra,"Constitutional Law, Contract Law",NLU Delhi,Case-based,3.75
M332,Kabir Singh,"Corporate Law, Torts",NLSIU Bangalore,Interactive,4.28
M333,Aditya Chopra,"Torts, Corporate Law",NLU Delhi,Interactive,3.67
M334,Myra Kapoor,"Criminal Law, Torts",WBNUJS Kolkata,Lecture-based,4.55
M335,Aarav Sharma,"Intellectual Property Law, Corporate Law",NLU Delhi,Research-focused,3.76
M336,Aditya Sharma,"Constitutional Law, Criminal Law",NLSIU Bangalore,Discussion-based,4.52
M337,Siya Kumar,"Torts, Corporate Law",NALSAR Hyderabad,Research-focused,4.55
M338,Aarav Chopra,"Criminal Law, Intellectual Property Law",NLU Delhi,Case-based,3.78
M339,Kabir Kapoor,"Torts, Contract Law",WBNUJS Kolkata,Case-based,4.34
M340,Ishaan Joshi,"Corporate Law, Intellectual Property Law",NLSIU Bangalore,Case-based,4.03
M341,Siya Kumar,"Intellectual Property Law, Constitutional Law",NLSIU Bangalore,Research-focused,4.34
M342,Riya Patel,"Constitutional Law, Contract Law",WBNUJS Kolkata,Research-focused,4.31
M343,Anaya Kapoor,"Criminal Law, Intellectual Property Law",NALSAR Hyderabad,Research-focused,4.52
M344,Siya Verma,"Taxation, Intellectual Property Law",NLSIU Bangalore,Discussion-based,3.59
M345,Vivaan Chopra,"Torts, Contract Law",NLU Jodhpur,Case-based,4.61
M346,Riya Patel,"Torts, Corporate Law",NLSIU Bangalore,Research-focused,4.76
M347,Aadhya Singh,"Torts, Constitutional Law",NLSIU Bangalore,Interactive,4.52
M348,Aarav Patel,"Corporate Law, Contract Law",WBNUJS Kolkata,Research-focused,3.55
M349,Aarav Kapoor,"Criminal Law, Taxation",NLU Jodhpur,Research-focused,3.79
M350,Anaya Chopra,"Corporate Law, Intellectual Property Law",NLU Delhi,Case-based,4.79
M351,Siya Singh,"Criminal Law, Torts",NLU Delhi,Research-focused,4.84
M352,Myra Singh,"Intellectual Property Law, Corporate Law",NLU Delhi,Interactive,4.85
M353,Kabir Verma,"Corporate Law, Contract Law",WBNUJS Kolkata,Interactive,4.35
M354,Siya Singh,"Corporate Law, Intellectual Property Law",WBNUJS Kolkata,Lecture-based,4.4
M355,Riya Bansal,"Constitutional Law, Intellectual Property Law",WBNUJS Kolkata,Research-focused,4.12
M356,Riya Joshi,"Criminal Law, Intellectual Property Law",NLU Delhi,Discussion-based,4.3
M357,Aarav Patel,"Torts, Intellectual Property Law",NALSAR Hyderabad,Interactive,3.89
M358,Aarav Joshi,"Constitutional Law, Intellectual Property Law",WBNUJS Kolkata,Interactive,4.2
M359,Riya Singh,"Torts, Criminal Law",NALSAR Hyderabad,Case-based,4.79
M360,Aarav Verma,"Contract Law, Intellectual Property Law",WBNUJS Kolkata,Case-based,4.18
M361,Myra Singh,"Taxation, Torts",NLSIU Bangalore,Research-focused,4.67
M362,Anaya Joshi,"Taxation, Corporate Law",WBNUJS Kolkata,Lecture-based,3.69
M363,Myra Chopra,"Corporate Law, Constitutional Law",WBNUJS Kolkata,Case-based,4.43
M364,Siya Verma,"Torts, Taxation",WBNUJS Kolkata,Case-based,3.87
M365,Siya Verma,"Taxation, Constitutional Law",NALSAR Hyderabad,Research-focused,4.99
M366,Siya Bansal,"Criminal Law, Corporate Law",NLSIU Bangalore,Research-focused,3.56
M367,Myra Kumar,"Taxation, Contract Law",NLSIU Bangalore,Interactive,4.49
M368,Anaya Joshi,"Contract Law, Torts",NLSIU Bangalore,Research-focused,3.91
M369,Ishaan Bansal,"Torts, Contract Law",NLU Delhi,Interactive,4.44
M370,Riya Patel,"Intellectual Property Law, Corporate Law",NLU Jodhpur,Research-focused,4.51
M371,Anaya Bansal,"Contract Law, Constitutional Law",NALSAR Hyderabad,Discussion-based,3.65
M372,Aditya Verma,"Intellectual Property Law, Torts",NALSAR Hyderabad,Lecture-based,4.92
M373,Aadhya Patel,"Criminal Law, Intellectual Property Law",NLU Delhi,Discussion-based,4.87
M374,Myra Mehta,"Contract Law, Torts",NLSIU Bangalore,Lecture-based,3.87
M375,Vivaan Verma,"Taxation, Intellectual Property Law",NALSAR Hyderabad,Research-focused,3.71
M376,Anaya Patel,"Taxation, Contract Law",WBNUJS Kolkata,Case-based,4.65
M377,Aditya Kapoor,"Corporate Law, Constitutional Law",NLSIU Bangalore,Interactive,4.27
M378,Aarav Kapoor,"Constitutional Law, Torts",NLU Jodhpur,Research-focused,4.58
M379,Riya Patel,"Criminal Law, Constitutional Law",NLU Jodhpur,Lecture-based,3.91
M380,Vivaan Kapoor,"Corporate Law, Criminal Law",NALSAR Hyderabad,Discussion-based,3.83
M381,Aarav Kapoor,"Taxation, Criminal Law",NLU Delhi,Case-based,3.59
M382,Aarav Chopra,"Contract Law, Constitutional Law",NLU Jodhpur,Discussion-based,3.59
M383,Siya Bansal,"Torts, Contract Law",WBNUJS Kolkata,Interactive,4.21
M384,Myra Patel,"Contract Law, Corporate Law",NLSIU Bangalore,Interactive,4.53
M385,Riya Sharma,"Taxation, Corporate Law",NLU Jodhpur,Interactive,4.54
M386,Myra Kumar,"Torts, Intellectual Property Law",NLU Jodhpur,Research-focused,4.37
M387,Aarav Sharma,"Taxation, Torts",NLU Jodhpur,Research-focused,3.55
M388,Kabir Chopra,"Corporate Law, Constitutional Law",NALSAR Hyderabad,Case-based,4.78
M389,Siya Singh,"Criminal Law, Constitutional Law",NLU Delhi,Interactive,4.3
M390,Myra Singh,"Corporate Law, Constitutional Law",WBNUJS Kolkata,Lecture-based,3.65
M391,Aditya Sharma,"Intellectual Property Law, Criminal Law",WBNUJS Kolkata,Case-based,4.79
M392,Myra Verma,"Corporate Law, Constitutional Law",NLU Delhi,Lecture-based,4.87
M393,Kabir Bansal,"Corporate Law, Taxation",NALSAR Hyderabad,Discussion-based,3.91
M394,Aarav Chopra,"Intellectual Property Law, Criminal Law",NLU Jodhpur,Lecture-based,4.62
M395,Ishaan Singh,"Corporate Law, Constitutional Law",NALSAR Hyderabad,Research-focused,4.8
M396,Aditya Verma,"Criminal Law, Constitutional Law",NLU Jodhpur,Case-based,4.84
M397,Kabir Patel,"Torts, Contract Law",NLSIU Bangalore,Discussion-based,3.66
M398,Ishaan Singh,"Constitutional Law, Corporate Law",NLSIU Bangalore,Discussion-based,3.76
M399,Siya Kapoor,"Constitutional Law, Contract Law",WBNUJS Kolkata,Research-focused,4.98
M400,Kabir Chopra,"Contract Law, Taxation",NALSAR Hyderabad,Case-based,4.12
M401,Aditya Mehta,"Corporate Law, Taxation",NALSAR Hyderabad,Research-focused,4.09
M402,Aditya Mehta,"Torts, Corporate Law",NLSIU Bangalore,Discussion-based,4.89
M403,Anaya Singh,"Contract Law, Constitutional Law",NLU Jodhpur,Discussion-based,3.52
M404,Anaya Verma,"Criminal Law, Contract Law",NALSAR Hyderabad,Discussion-based,4.48
M405,Aarav Singh,"Contract Law, Criminal Law",NLU Jodhpur,Research-focused,4.82
M406,Anaya Patel,"Torts, Contract Law",NLU Delhi,Research-focused,3.65
M407,Kabir Chopra,"Taxation, Contract Law",NLSIU Bangalore,Research-focused,4.91
M408,Ishaan Chopra,"Contract Law, Taxation",NALSAR Hyderabad,Interactive,4.44
M409,Anaya Verma,"Corporate Law, Contract Law",NLSIU Bangalore,Research-focused,4.83
M410,Aditya Mehta,"Corporate Law, Taxation",NALSAR Hyderabad,Case-based,3.7
M411,Siya Sharma,"Criminal Law, Torts",NALSAR Hyderabad,Discussion-based,4.72
M412,Ishaan Joshi,"Constitutional Law, Corporate Law",NLSIU Bangalore,Discussion-based,4.63
M413,Myra Verma,"Intellectual Property Law, Criminal Law",NALSAR Hyderabad,Research-focused,4.16
M414,Ishaan Sharma,"Constitutional Law, Intellectual Property Law",WBNUJS Kolkata,Lecture-based,4.07
M415,Myra Patel,"Corporate Law, Criminal Law",NLSIU Bangalore,Research-focused,3.9
M416,Aditya Mehta,"Corporate Law, Intellectual Property Law",NLU Jodhpur,Research-focused,3.64
M417,Myra Kumar,"Intellectual Property Law, Corporate Law",NLSIU Bangalore,Lecture-based,4.18
M418,Aadhya Kumar,"Torts, Constitutional Law",NLU Delhi,Research-focused,4.83
M419,Kabir Singh,"Taxation, Constitutional Law",NLU Jodhpur,Lecture-based,3.7
M420,Riya Mehta,"Torts, Corporate Law",WBNUJS Kolkata,Research-focused,4.88
M421,Aditya Patel,"Torts, Corporate Law",NALSAR Hyderabad,Discussion-based,3.5
M422,Aadhya Sharma,"Criminal Law, Constitutional Law",NLSIU Bangalore,Lecture-based,4.0
M423,Ishaan Chopra,"Criminal Law, Contract Law",NLU Delhi,Research-focused,3.67
M424,Aditya Kapoor,"Contract Law, Intellectual Property Law",NLSIU Bangalore,Case-based,4.86
M425,Aarav Patel,"Constitutional Law, Torts",NLU Delhi,Interactive,3.86
M426,Siya Joshi,"Corporate Law, Torts",NLU Delhi,Research-focused,4.61
M427,Riya Sharma,"Taxation, Corporate Law",NLSIU Bangalore,Research-focused,4.03
M428,Aadhya Singh,"Corporate Law, Taxation",NLU Jodhpur,Lecture-based,3.76
M429,Anaya Sharma,"Intellectual Property Law, Contract Law",WBNUJS Kolkata,Case-based,3.65
M430,Aarav Kapoor,"Intellectual Property Law, Torts",NALSAR Hyderabad,Interactive,3.57
M431,Aarav Kapoor,"Corporate Law, Contract Law",NALSAR Hyderabad,Research-focused,3.83
M432,Myra Sharma,"Corporate Law, Torts",NALSAR Hyderabad,Lecture-based,4.65
M433,Aadhya Kumar,"Torts, Criminal Law",NLU Delhi,Discussion-based,4.97
M434,Myra Sharma,"Constitutional Law, Taxation",NLSIU Bangalore,Case-based,3.59
M435,Aadhya Sharma,"Intellectual Property Law, Criminal Law",NLU Delhi,Case-based,4.44
M436,Aadhya Verma,"Criminal Law, Torts",NALSAR Hyderabad,Lecture-based,4.19
M437,Aditya Verma,"Contract Law, Intellectual Property Law",NALSAR Hyderabad,Research-focused,4.19
M438,Ishaan Kapoor,"Torts, Taxation",NALSAR Hyderabad,Case-based,4.36
M439,Kabir Kumar,"Torts, Criminal Law",WBNUJS Kolkata,Research-focused,3.67
M440,Siya Sharma,"Taxation, Corporate Law",NLU Jodhpur,Case-based,4.07
M441,Anaya Kumar,"Corporate Law, Torts",NALSAR Hyderabad,Case-based,3.99
M442,Aarav Mehta,"Intellectual Property Law, Contract Law",WBNUJS Kolkata,Research-focused,4.12
M443,Myra Chopra,"Constitutional Law, Criminal Law",NALSAR Hyderabad,Lecture-based,3.65
M444,Myra Kumar,"Constitutional Law, Intellectual Property Law",WBNUJS Kolkata,Interactive,4.41
M445,Siya Chopra,"Constitutional Law, Intellectual Property Law",NLSIU Bangalore,Case-based,3.72
M446,Anaya Kapoor,"Intellectual Property Law, Torts",NALSAR Hyderabad,Research-focused,4.04
M447,Aadhya Chopra,"Taxation, Contract Law",NLSIU Bangalore,Lecture-based,3.71
M448,Vivaan Singh,"Taxation, Contract Law",NLU Jodhpur,Lecture-based,4.59
M449,Kabir Chopra,"Criminal Law, Constitutional Law",WBNUJS Kolkata,Case-based,4.12
M450,Riya Kumar,"Corporate Law, Criminal Law",NALSAR Hyderabad,Case-based,4.09
M451,Anaya Kumar,"Criminal Law, Taxation",NLSIU Bangalore,Research-focused,3.61
M452,Aadhya Singh,"Criminal Law, Constitutional Law",NLU Jodhpur,Discussion-based,4.99
M453,Ishaan Patel,"Contract Law, Taxation",NLU Delhi,Lecture-based,4.24
M454,Kabir Singh,"Intellectual Property Law, Torts",WBNUJS Kolkata,Discussion-based,4.03
M455,Aadhya Patel,"Criminal Law, Corporate Law",NALSAR Hyderabad,Discussion-based,3.59
M456,Vivaan Sharma,"Constitutional Law, Taxation",NALSAR Hyderabad,Research-focused,4.7
M457,Myra Sharma,"Corporate Law, Criminal Law",WBNUJS Kolkata,Lecture-based,3.88
M458,Anaya Chopra,"Constitutional Law, Taxation",NLSIU Bangalore,Interactive,4.4
M459,Kabir Sharma,"Contract Law, Constitutional Law",NLU Jodhpur,Case-based,4.29
M460,Riya Sharma,"Torts, Criminal Law",NLU Delhi,Discussion-based,4.0
M461,Aarav Sharma,"Corporate Law, Torts",WBNUJS Kolkata,Interactive,4.3
M462,Riya Chopra,"Constitutional Law, Contract Law",NLU Delhi,Case-based,4.21
M463,Kabir Sharma,"Criminal Law, Corporate Law",NLSIU Bangalore,Interactive,4.52
M464,Riya Singh,"Contract Law, Constitutional Law",NALSAR Hyderabad,Case-based,4.15
M465,Vivaan Sharma,"Taxation, Criminal Law",WBNUJS Kolkata,Discussion-based,4.11
M466,Vivaan Sharma,"Torts, Constitutional Law",WBNUJS Kolkata,Discussion-based,3.9
M467,Aditya Bansal,"Taxation, Intellectual Property Law",NLU Jodhpur,Case-based,4.23
M468,Aarav Joshi,"Torts, Criminal Law",NLU Jodhpur,Discussion-based,3.57
M469,Kabir Kapoor,"Constitutional Law, Contract Law",NLSIU Bangalore,Interactive,4.77
M470,Anaya Bansal,"Taxation, Contract Law",WBNUJS Kolkata,Research-focused,4.44
M471,Ishaan Singh,"Torts, Contract Law",WBNUJS Kolkata,Discussion-based,3.69
M472,Riya Mehta,"Contract Law, Corporate Law",NLU Delhi,Discussion-based,3.5
M473,Siya Mehta,"Contract Law, Constitutional Law",NLSIU Bangalore,Discussion-based,3.6
M474,Vivaan Singh,"Corporate Law, Torts",NLSIU Bangalore,Case-based,4.6
M475,Kabir Singh,"Corporate Law, Taxation",NLSIU Bangalore,Interactive,3.67
M476,Riya Patel,"Intellectual Property Law, Torts",WBNUJS Kolkata,Case-based,4.9
M477,Ishaan Singh,"Intellectual Property Law, Corporate Law",NLU Delhi,Interactive,3.8
M478,Ishaan Verma,"Intellectual Property Law, Torts",NLU Delhi,Discussion-based,3.75
M479,Siya Chopra,"Taxation, Contract Law",NLU Delhi,Research-focused,4.59
M480,Siya Mehta,"Taxation, Contract Law",NLU Delhi,Discussion-based,3.62
M481,Siya Patel,"Torts, Constitutional Law",WBNUJS Kolkata,Research-focused,4.69
M482,Vivaan Bansal,"Torts, Corporate Law",NALSAR Hyderabad,Discussion-based,4.08
M483,Aadhya Mehta,"Contract Law, Criminal Law",NLU Delhi,Lecture-based,4.77
M484,Aadhya Singh,"Criminal Law, Torts",NLU Jodhpur,Lecture-based,4.13
M485,Riya Singh,"Torts, Taxation",NLU Delhi,Discussion-based,4.75
M486,Riya Verma,"Constitutional Law, Contract Law",NLU Delhi,Case-based,3.8
M487,Ishaan Singh,"Intellectual Property Law, Torts",NLSIU Bangalore,Lecture-based,4.13
M488,Aadhya Bansal,"Corporate Law, Taxation",WBNUJS Kolkata,Discussion-based,4.09
M489,Anaya Sharma,"Criminal Law, Taxation",NLU Jodhpur,Discussion-based,4.46
M490,Vivaan Joshi,"Torts, Corporate Law",NLU Delhi,Research-focused,3.82
M491,Aarav Chopra,"Taxation, Intellectual Property Law",NLU Delhi,Discussion-based,4.78
M492,Anaya Kumar,"Contract Law, Corporate Law",WBNUJS Kolkata,Discussion-based,4.33
M493,Myra Verma,"Constitutional Law, Contract Law",NLU Delhi,Interactive,3.9
M494,Ishaan Mehta,"Criminal Law, Torts",NLSIU Bangalore,Research-focused,4.95
M495,Ishaan Patel,"Torts, Contract Law",NLSIU Bangalore,Research-focused,4.49
M496,Ishaan Sharma,"Corporate Law, Taxation",NLU Delhi,Case-based,4.26
M497,Aadhya Singh,"Torts, Corporate Law",NLSIU Bangalore,Case-based,4.3
M498,Aadhya Patel,"Torts, Criminal Law",NALSAR Hyderabad,Case-based,3.65
M499,Aadhya Kumar,"Taxation, Intellectual Property Law",NLU Jodhpur,Research-focused,4.33
M500,Aditya Bansal,"Constitutional Law, Taxation",NLU Delhi,Lecture-based,3.89
